answer,tags,question,a,b,c,d,,,
b,"Constitutional Law,  Powers","A federal statute prohibits the construction of nuclear energy plants in this country without a license from the Federal Nuclear Plant Siting Commission. The statute provides that the Commission may issue a license authorizing the construction of a proposed nuclear energy plant 30 days after the Commission makes a finding that the plant will comply with specified standards of safety, technological and commercial feasibility, and public convenience. In a severable provision, the Commission's enabling statute also provides that the Congress, by simple majorities in each house, may veto the issuance of a particular license by the Commission if such a veto occurs within 30 days following the required Commission finding. Early last year, the Commission found that a company met all statutory requirements and, therefore, voted to issue the company a license authorizing it to construct a nuclear energy plant. Because they believed that the issuance of a license the company was not in accord with the applicable statutory criteria, a majority of each of the two houses of Congress voted, within the specified 30-day period, to veto the license. On the basis of that veto, the Commission refused to issue the license. Subsequently, the company sued the Commission in an appropriate federal district court, challenging the constitutionality of the Commission's refusal to issue the license. In this suit, the court should hold the congressional veto of the license of the company to be:","invalid, because any determination by Congress that particular agency action does not satisfy statutory criteria violates Article III, Section 1 of the Constitution because it constitutes the performance of a judicial function by the legislative branch.","invalid, because Article I, Section 7 of the Constitution has been interpreted to mean that any action of Congress purporting to alter the legal rights of persons outside of the legislative branch must be presented to the President for his signature or veto.","valid, because Congress has authority under the commerce clause to regulate the construction of nuclear energy plants.","valid, because there is a compelling national interest in the close congressional supervision of nuclear plant siting in light of the grave dangers to the public health and safety that are associated with the operation of such plants.",,,
b,"Criminal Law & Procedure,  Crimes","A man became ill while at work and decided to go home early. When he entered his bedroom, the man saw his wife engaged in sexual intercourse with a neighbor. The man grabbed a gun from a dresser drawer and shot and killed the neighbor. He was later charged and prosecuted. In a jurisdiction that follows the common law for homicide offenses, which crimes should the court instruct the jury on?",Murder and involuntary manslaughter.,Murder and voluntary manslaughter.,"Murder, voluntary manslaughter, and involuntary manslaughter.",Voluntary manslaughter and involuntary manslaughter.,,,
d,Civil Procedure,"A railroad worker's widow brought a wrongful death action in federal court against the railroad, claiming that its negligence had caused her husband's death. At trial, the widow offered the testimony of a coworker of the husband. The coworker testified that he had seen the rail car on which the husband was riding slow down and the cars behind it gain speed. The coworker also stated that he later heard a loud crash, but did not turn around to look because loud noises were common in the yard. Three other railroad employees testified that no collision had occurred. At the close of the evidence, the railroad moved for judgment as a matter of law, which was denied, and the case was submitted to the jury. The jury returned a verdict for the widow. The railroad has made a renewed motion for judgment as a matter of law. What standard should the court apply to determine how to rule on the motion?",Whether the evidence revealed a genuine dispute of material fact supporting the widow's claim.,Whether the verdict is against the weight of the evidence.,Whether the widow presented a scintilla of evidence to support the verdict.,"Whether there is substantial evidence in the record to support the verdict, resolving all disputed issues in the widow's favor.",,,
b,Civil Procedure,"A man, a resident of California, is injured when the automobile he is driving is struck by a vehicle negligently driven by a second man, a resident of New Mexico. The man sues the second man in Federal Court in California for negligence, alleging that the second man ran a red light. The second man denies the allegation and tells his attorney that the man ran a red light. The second man’s attorney visits the scene of the accident and determines that a woman, an employee at the coffee shop located at the intersection where the accident occurred, witnessed the accident. The woman tells the second man’s attorney that the second man ran a red light. Which of the following statements is correct?","The second man’s attorney must disclose to the man’s attorney the woman’s name, address and telephone number as part of the initial disclosures.",The second man’s attorney’s notes of his interview with the woman are protected work product.,"If the man propounds an interrogatory on the second man asking for the names and addresses of all witnesses to the accident, the second man’s attorney may refuse to disclose the woman’s name and address as privileged information.",The second man’s attorney will violate Rule 11 if he signs and files an answer denying that the second man ran a red light.,,,
d,"Torts,  Defamation/Invasion of Privacy","Two students are in an advanced high school Russian class. During an argument one day in the high school cafeteria, in the presence of other students, first student, in Russian, accused second student of taking money from first student's locker. In a suit by second student against first student based on defamation, second student will:","prevail, because first student's accusation constituted slander per se;","prevail, because the defamatory statement was made in the presence of third persons;","not prevail, unless first student made the accusation with knowledge of falsity or reckless disregard of the truth;","not prevail, unless one or more of the other students understood Russian.",,,
b,"Constitutional Law,  Powers","Congressional hearings determined that the use of mechanical power hammers is very dangerous to the persons using them and to persons in the vicinity of the persons using them. As a result, Congress enacted a statute prohibiting the use of mechanical power hammers on all construction projects in the United States. Subsequently, a study conducted by a private research firm concluded that nails driven by mechanical power hammers have longer-lasting joining power than hand-driven nails. After learning about this study, the city council of a City enacted an amendment to its building safety code requiring the use of mechanical power hammers in the construction of all buildings intended for human habitation. This amendment to the City’s building safety code is:","unconstitutional, because it was enacted subsequent to the federal statute.","unconstitutional, because it conflicts with the provisions of the federal statute.","constitutional, because the federal statute does not expressly indicate that it supersedes inconsistent state or local laws.","constitutional, because the long-term safety of human habitations justifies some additional risk to the people engaged in their construction.",,,
c,Civil Procedure,"The attorney for a plaintiff in an action filed in federal district court served the defendant with the summons, the complaint, and 25 interrogatories asking questions about the defendant's contentions in the case. The interrogatories stated that they were to be answered within 30 days after service.The defendant is likely to succeed in obtaining a protective order on which of the following grounds?","Interrogatories are only proper to discover facts, not contentions.",Interrogatories may not be served until an answer to the complaint is filed.,Interrogatories may not be served until the parties have conferred to arrange for initial disclosures and prepare a discovery plan.,The interrogatories exceed the number permitted without permission from the court or an agreement between the parties.,,,
d,Civil Procedure,"A plaintiff brought a negligence action against a defendant. The plaintiff presented one witness, a long-time criminal who was intoxicated when he observed the alleged negligent acts. During trial, the defendant’s cross-examination of the witness revealed that he had provided false or incorrect testimony on several key facts. The defendant then presented the testimony of her own witnesses, consisting of the chair of the ethics committee of the state bar, two nuns, and the plaintiff’s parents, all of whom were eye-witnesses to the alleged negligent acts with perfect vision. Defendant made no motions during trial. The jury found in favor of plaintiff. What motion should the defendant make?",Motion for summary judgment.,Motion for a directed verdict.,Motion for judgment notwithstanding the verdict.,Motion for a new trial.,,,
a,"Evidence,  Impeachment of Witnesses","A defendant is on trial for the brutal murder of the victim. The defendant's first witness testified that in her opinion the defendant is a peaceful and nonviolent person. The prosecution does not cross-examine the witness, who is then excused from further attendance. Which one of the following is INADMISSIBLE during the prosecution's rebuttal?",Testimony by the witness' former employer that the witness submitted a series of false expense vouchers two years ago.,Testimony by a police officer that the defendant has a long-standing reputation in the community as having a violent temper.,Testimony by a neighbor that the witness has a long-standing reputation in the community as an untruthful person.,"Testimony by the defendant's former cell mate that he overheard the witness offer to provide favorable testimony if the defendant would pay her $5,000.",,,
c,"Real Property,  RE Contract Issues","A seller contracted to sell land to a buyer for $300,000. The contract provided that the closing would be 60 days after the contract was signed and that the seller would convey to the buyer a ""marketable title"" by a quitclaim deed at closing. The contract contained no other provisions regarding the title to be delivered to the buyer. A title search revealed that the land was subject to an unsatisfied $50,000 mortgage and a right-of-way easement over a portion of the land. The buyer now claims that the title is unmarketable and has refused to close. Is the buyer correct?","No, because nothing under these facts renders title unmarketable.","No, because the buyer agreed to accept a quitclaim deed.","Yes, because the right-of-way easement makes the title unmarketable.","Yes, because the unsatisfied mortgage makes the title unmarketable.",,,
b,"Constitutional Law,  Individual Rights","City has had a severe traffic problem on its streets. As a result, it enacted an ordinance prohibiting all sales to the public of food or other items by persons selling directly from trucks, cars, or other vehicles located on city streets. The ordinance included an inseverable grandfather provision exempting from its prohibition vendors who, for 20 years or more, have continuously sold food or other items from such vehicles located on the streets of City. A retail vendor of ice cream products, qualifies for this exemption and is the only food vendor that does. A yogurt company is a business similar to the retail vendor, but the yogurt company has been selling to the public directly from trucks located on the streets of City only for the past ten years. The yogurt company filed suit in an appropriate federal, district court to enjoin enforcement of this ordinance on the ground that it denies the yogurt company the equal protection of the laws. In this case, the court will probably rule that the ordinance is:","constitutional, because it is narrowly tailored to implement City's compelling interest in reducing traffic congestion and, therefore, satisfies the strict scrutiny test applicable to such cases.","constitutional, because its validity is governed by the rational basis test, and the courts consistently defer to economic choices embodied in such legislation if they are even plausibly justifiable.","unconstitutional, because the nexus between the legitimate purpose of the ordinance and the conduct it prohibits is so tenuous and its provisions are so underinclusive that the ordinance fails to satisfy the substantial relationship test applicable to such cases.","unconstitutional, because economic benefits or burdens imposed by legislatures on the basis of grandfather provisions have consistently been declared invalid by courts as per se violations of the equal protection clause of the Fourteenth Amendment.",,,
d,"Torts,  Defamation/Invasion of Privacy","The Governor of State signed a death warrant for a convicted murderer. At a demonstration protesting the execution of murderer, demonstrators carried large signs that stated, ""Governor Is A Murderer."" A television station broadcast news coverage of the demonstration, including pictures of the signs carried by demonstrators. If the Governor asserts a defamation claim against the television station, will the Governor prevail?","Yes, because the signs would cause persons to hold the Governor in lower esteem.","Yes, if the Governor proves that television station showed the signs with knowledge of falsity or reckless disregard of the truth that the Governor had not committed homicide.","No, unless the Governor proves he suffered pecuniary loss resulting from harm to his reputation proximately caused by the defendants' signs.","No, if the only reasonable interpretation of the signs was that the term ""murderer"" was intended as a characterization of one who would sign a death warrant.",,,
a,Civil Procedure,"A plaintiff seeks to obtain a default judgment against the defendant in Federal Court, after defendant fails to timely file an Answer to Plaintiff’s Complaint. Which of the following facts, if true, will block Plaintiff from obtaining her default judgment, even if all other procedural and substantive requirements are met?","Defendant is 17 years old and unrepresented by a guardian, conservator, or similar fiduciary.",Defendant files his answer one day late.,"Plaintiff’s complaint seeks damages “in the amount of $300,000 plus interest at the legal rate.”","Defendant was served while in the state, but is currently on a vacation in Europe.",,,
a,"Contracts,  Uniform Commercial Code","On July 18, a shovel manufacturer received an order for the purchase of 500 snow shovels from a wholesaler. The wholesaler had mailed the purchase order on July 15. The order required shipment of the shovels no earlier than September 15 and no later than October 15. Typed conspicuously across the front of the order form was the following: “Wholesaler reserves the right to cancel this order at any time before September 1.” The manufacturer’s mailed response, saying, “We accept your order,” was received by the wholesaler on July 21. As of July 22, which of the following is an accurate statement as to whether a contract was formed?","No contract was formed, because of the wholesaler’s reservation of the right to cancel.","No contract was formed, because the wholesaler’s order was only a revocable offer.","A contract was formed, but prior to September 1 it was terminable at the will of either party.","A contract was formed, but prior to September 1 it was an option contract terminable only at the will of wholesaler.",,,
c,"Contracts,  Common Law Contracts","During an ice storm, a man's car slipped down an embankment and became lodged against a large tree. The man called a towing company and told the company's manager that the car was 100 feet down the embankment. ""That's lucky,"" said the manager, ""because our winch only goes 100 feet."" After the manager and the man agreed on a price, an employee of the company attempted to reach the car but could not because the car turned out to be 120 feet down the embankment. Is the towing company's performance excused on the grounds of mistake?","No, because both parties were uncertain about the distance.","No, because the towing company assumed the risk by the manager's failure to examine the distance himself.","Yes, because at the time of contracting, both parties were mistaken about a basic assumption on which the contract was based.","Yes, because the agreement did not allocate the risk of mistake to either party.",,,
d,Civil Procedure,"In the case of Plaintiff v. Defendant Automotive, a products liability case involving a claim that the engine of the “Defendant Dynamo,” an automobile manufactured by Defendant was defectively designed, the following actions occurred inside the jury room during deliberations. Deliberations resulted in a defense verdict. Which of the actions is the best grounds for Plaintiff to seek a new trial based on jury misconduct?","Juror No. 5, an engineer by education and training, tells the other jurors that Plaintiff’s expert’s testimony concerning a feasible alternative design is inconsistent with his understanding of the engineering principles involved.","Juror Nos. 7 and 11 engage in a three-minute shouting match, followed by a very brief shove of the other by each of them, after which everyone calmed down.","Juror No. 2 fails to say anything or give any opinion whatsoever in the deliberations, but does vote in favor of defendant.","Juror No. 1, over the weekend, takes a “Defendant Dynamo” for a test drive, and then tells the jurors on the following Monday during deliberations that he tried to duplicate what Plaintiff said happened when he was injured, but the engine worked well.",,,
c,"Constitutional Law,  Individual Rights","A police officer was employed on a city's police force for 10 years. When the officer accepted the job, the city's employee benefit plan provided a death benefit to the spouse of any employee who died as a result of any job-related injury. Last year, the city amended its employee benefit plan to deny its death benefit in cases where the death ""was caused by the employee's refusal to accept, for any reason other than its excessive risk to life or health, reasonably available medical care prescribed by a physician."" After this amendment took effect, the officer was shot while on duty. Because of a sincerely held religious belief, the officer refused to allow a prescribed blood transfusion and, as a result, died from loss of blood. When the officer's spouse applied for the death benefit, the city denied the application on the basis of the amendment to the employee benefit plan. The officer's spouse has challenged the amendment, claiming that, as applied to the officer, it violated the officer's constitutional right to the free exercise of religion. Is the court likely to find the amendment to the employee benefit plan constitutional as applied to the officer?","No, because it effectively discriminates against a religious practice.","No, because it violates the vested contractual rights of city employees who were hired before the amendment took effect.","Yes, because it does not single out religious reasons for the denial of benefits and is a reasonable limitation on the award of such benefits.","Yes, because it imposes a condition only on the award of a government benefit and does not impose a penalty on an individual's conduct.",,,
b,"Torts,  Defamation/Invasion of Privacy","A 15-year-old boy was killed during a gang fight. Two days after his funeral, the boy's mother saw a television program about gang violence and was shocked to see video of herself weeping over the boy's body. The video had been shot by the television reporting team while the boy's body was still lying on a public street. The mother suffered severe emotional distress as a result of seeing the video. If the mother sues the television station for invasion of her privacy and that of her son, will the mother be likely to prevail?","No, because a person has no right to privacy after his or her death.","No, because the street was open to the public and the subject was newsworthy.","Yes, because the mother did not give permission to have the video used in the program.","Yes, because the mother suffered severe emotional distress as a result of viewing the video.",,,
a,"Real Property,  Title,  Conveyancing,  Recording","Fifteen years ago, two men who were fishing buddies moved onto vacant rural land owned by a woman they didn't know and built a small fishing shack on it. Twelve years ago, the men replaced the shack with a fish processing plant and a commercial fishing boat dock. The men maintained their commercial fishery operation on the land until one of them died intestate last year, leaving a sole heir. The period of time to acquire title by adverse possession in the jurisdiction is 10 years. The woman has now become aware of the changes that have occurred on the land. In an action to determine title, for whom should the court decide?","For the man who is still alive and the deceased man's heir, because the men acquired title as tenants in common.","For the man who is still alive, because he is the surviving adverse possessor.","For the woman, because the use was changed by the men while they were in possession.","For the woman, because title cannot be claimed by two adverse possessors simultaneously.",,,
c,"Contracts,  Uniform Commercial Code","A high-volume, pleasure-boat retailer entered into a written contract with a man, signed by both parties, to sell the man a power boat for $12,000. The manufacturer’s price of the boat delivered to the retailer was $9,500. As the contract provided, the man paid the retailer $4,000 in advance and promised to pay the full balance upon delivery of the boat. The contract contained no provision for liquidated damages. Prior to the agreed delivery date, the man notified the retailer that he would be financially unable to conclude the purchase; and the retailer thereupon resold the same boat that the man had ordered to a third person for $12,000 cash. If the man sues the retailer for restitution of the $4,000 advance payment, which of the following should the court decide?","The man’s claim should be denied, because, as the party in default, he is deemed to have lost any right to restitution of a benefit conferred on the retailer.","The man’s claim should be denied, because, but for his repudiation, the retailer would have made a profit on two boat-sales instead of one.","The man’s claim should be upheld in the amount of $4,000 minus the amount of the retailer’s lost profit under its contract with the man.","The man’s claims should be upheld in the amount of $3,500 ($4,000 minus $500 as statutory damages under the UCC).",,,
a,"Evidence,  Hearsay","A Plaintiff, a management trainee, brought a sex discrimination lawsuit against her employer for wrongful termination of her employment. At trial, the plaintiff is prepared to testify that a janitor at the company told her that he had heard her supervisor say to other male coworkers about her, ""Make it hard for her. Maybe she'll go home where she belongs.""Is the plaintiff's proposed testimony admissible?","No, because the janitor's statement is hearsay not within any exception.","No, because the statements of both the janitor and the supervisor are hearsay not within any exception.","Yes, because the janitor's statement is a present sense impression, and the supervisor's statement is a statement of his then-existing state of mind.","Yes, because the statements of both the janitor and the supervisor are statements concerning a matter within the scope of their employment.",,,
d,"Evidence,  Hearsay","A plaintiff sued an industrial facility in her neighborhood for injuries to her health caused by air pollution. At trial, the plaintiff was asked questions on direct examination about the days on which she had observed large amounts of dust in the air and how long the condition had lasted. She testified that she could not remember the specific times, but that she maintained a diary in which she had accurately recorded this information on a daily basis. When her attorney sought to refresh her recollection with her diary, she still could not remember. The plaintiff's attorney seeks to have the information in the diary admitted at trial. Is the information admissible?","No, because reviewing it did not refresh the plaintiff's recollection.","No, unless it is offered by the defendant.","Yes, and the plaintiff should be allowed the option of reading it into evidence or having the diary received as an exhibit.","Yes, and the plaintiff should be allowed to read the diary into evidence.",,,
d,"Real Property,  RE Contract Issues","A buyer and a seller entered into a written contract for the sale of land. The contract satisfied the requirements of the statute of frauds. Because the buyer needed time to obtain financing, the buyer and the seller did not agree upon a closing date, and the written contract did not contain a stated closing date. Ten days after signing the contract, the buyer and the seller orally agreed to rescind the contract. The next day, the seller sold the land to a third party. Two days after that sale, the original buyer told the seller that she had changed her mind and wanted to complete their contract. When the seller told her that he had sold the land to a third party, she sued him for breach of the written contract. For whom will the court find?","For the buyer, because she informed the seller within a reasonable time that she desired to close the transaction.","For the buyer, because the agreement to rescind the contract was not in a writing signed by the buyer and the seller.","For the seller, because the contract failed to contain a stated closing date.","For the seller, because the oral rescission was valid.",,,
b,"Evidence,  Impeachment of Witnesses","Plaintiff sued Defendant for damages arising out of an automobile collision. At trial, Plaintiff called an eyewitness to the collision. Plaintiff expected eyewitness to testify that she had observed Defendant 's automobile for five seconds prior to the collision and estimated Defendant 's speed at the time of the collision to have been 50 miles per hour. Instead, eyewitness testified that she estimated Defendant 's speed to have been 25 miles per hour. Without finally excusing eyewitness as a witness, Plaintiff then called a police officer, to testify that eyewitness had told him during his investigation at the accident scene that Defendant ""was doing at least 50."" The police officer's testimony is:",admissible as a present sense impression,admissible to impeach eyewitness.,"inadmissible, because Plaintiff may not impeach his own witness.","inadmissible, because it is hearsay not within any exception.",,,
c,"Criminal Law & Procedure,  Crimes","After waiting until all the customers had left, a man entered a small grocery store just before closing time. He went up to the lone clerk in the store and said, “Hand over all the money in the cash register or you will get hurt.” The clerk fainted and struck his head on the edge of the counter. As the man went behind the counter to open the cash register, two customers entered the store. The man ran out before he was able to open the register drawer. On this evidence the man could be convicted of",robbery.,assault and robbery.,attempted robbery.,assault and attempted robbery.,,,
d,"Torts,  Products Liability/Strict Liability","A chemical company's plant was located in a residential community. The manufacturing process used at the plant generated a toxic chemical as a byproduct. The chemical was stored in a state-of-the-art tank on the site before being moved to an off-site disposal facility. The on-site storage arrangement conformed to the requirements of reasonable care and to the applicable government regulations. However, the storage of the toxic chemical created a foreseeable and highly significant risk of physical harm even when reasonable care was exercised. Despite the chemical company's proper use and care of the storage tank, toxic fumes escaped from the tank and made residents of the area seriously ill. No state or federal statutes address the issue of the company's liability. In an action by one of the affected residents against the chemical company, will the resident be likely to prevail?","No, because the chemical company conformed to the requirements of reasonable care and to the applicable government regulations.","No, because the chemical company used a state-of-the-art storage tank.","Yes, because the chemical company is strictly liable in tort for any harm caused by the toxic chemicals it produced.","Yes, because the storage of toxic chemicals in a residential community created a highly significant risk of physical harm even when reasonable care was exercised.",,,
a,"Evidence,  Impeachment of Witnesses","Defendant is on trial for burglary. During cross- examination of Defendant, the prosecutor wants to inquire about Defendant's earlier conviction for falsifying a credit application. Which of the following facts concerning the conviction would be the best reason for the trial court's refusing to allow such examination?",Defendant was released from prison 12 years ago.,Defendant was put on probation rather than imprisoned.,It was for a misdemeanor rather than a felony.,It is on appeal.,,,
d,"Criminal Law & Procedure,  Criminal Procedure","Police received information from an undercover police officer that she had just seen two men (whom she described) in a red pickup truck selling marijuana to schoolchildren near the city’s largest high school. A few minutes later, two police officers saw a pickup truck fitting the description of one of the men described by the undercover officer. The only passenger was a young woman who was in the back of the truck. The police saw her get out and stand at a nearby bus stop. They stopped the truck and searched the driver. In the pocket of the driver’s jacket, the police found a small bottle of pills that they recognized as narcotics. They then broke open a locked toolbox attached to the flatbed of the truck and found a small sealed envelope inside. They opened it and found marijuana. They also found a quantity of cocaine in the glove compartment. After completing their search of the driver and the truck, the police went over to the young woman and searched her purse. In her purse, they found a small quantity of heroin. Both the driver and the young woman were arrested and charged with unlawful possession of narcotics. If the driver moves to suppress the use as evidence of the marijuana and cocaine found in the search of the truck, the court should",grant the motion as to both the marijuana and the cocaine.,grant the motion as to the marijuana but deny it as to the cocaine.,deny the motion as to the marijuana but grant it as to the cocaine.,deny the motion as to both the marijuana and the cocaine.,,,
b,"Criminal Law & Procedure,  Crimes","A man who believed that his wife was cheating on him with her gym trainer decided to kill the trainer. He loaded his handgun and set off for the trainer's house. Because he was anxious about committing the crime, the man first stopped at a bar, drank eight shots of hard liquor, and became intoxicated. He then left the bar and went to the trainer's house. When the trainer answered the door, the man shot and killed him. The man then passed out on the trainer's porch. The man has been charged with murder in a jurisdiction that follows the common law. Can the man raise an intoxication defense?","No, because drinking at the bar was the proximate cause of the killing.","No, because the man intended to commit the murder and drank to strengthen his nerve.","Yes, because drinking at the bar was a foreseeable intervening cause of the killing.","Yes, because the man's intoxication negated the specific intent required for murder.",,,
