answer,tags,question,a,b,c,d
a,"Real Property, Easements, Covenants and Servitudes,","A man owned land along the south side of a highway. To the south of the man's land was a lot owned by a woman who lived on it in a house. Five years ago the man conveyed a right-of-way easement over his land to the woman because it provided a more direct route between her house and the highway. The easement was evidenced by a clearly marked path. The document granting the easement was promptly recorded. Three years ago, the woman conveyed her house to the man. The man never took actual possession of the house. Two years ago, the man conveyed the house to a purchaser by a warranty deed. Two months after the purchaser moved into the house, a neighbor informed him about the easement. He then began using the path that had been marked on the man's land. When the man noticed the purchaser using the path, he erected a barricade on his land that effectively prevented the purchaser from using the path. The purchaser has sued the man, claiming that he has an easement over the man's land. Who is likely to prevail?","The man, because the easement was extinguished.","The man, because the purchaser did not have actual notice of the easement at the time of acquisition.","The purchaser, because he purchased the house by warranty deed.","The purchaser, because the easement was of public record when he acquired the house."
d,"Constitutional Law, Powers,","A mineral is added to bodies of fresh water to prevent the spread of certain freshwater parasites. The presence of those parasites threatens the health of the organisms living in rivers and streams throughout the country and imperils the freshwater commercial fishing industry. The mineral is currently mined only in State A. In order to raise needed revenue, Congress recently enacted a statute providing for the imposition of a $100 tax on each ton of the mineral mined in the United States. Because it will raise the cost of the mineral, this tax is likely to reduce the amount of the mineral added to freshwater rivers and streams and, therefore, is likely to have an adverse effect on the interstate freshwater commercial fishing industry. A producer of the mineral has filed a lawsuit in federal court challenging this tax solely on constitutional grounds. Is this tax constitutional?","No, because only mineral producers in State A will pay the tax and, therefore, it is not uniform among the states and denies the mineral producers the equal protection of the laws.","No, because it is likely to have an adverse effect on the freshwater commercial fishing industry and Congress has a responsibility under the clause to protect, foster, and advance such interstate industries.","Yes, because the tax is a necessary and proper means of exercising federal authority over the navigable waters of the United States.","Yes, because the power of Congress to impose taxes is plenary, this tax does not contain any provisions extraneous to tax needs or purposes, and it is not barred by any prohibitory language in the Constitution."
a,"Evidence, Impeachment of Witnesses,",A plaintiff sued a defendant for breach of a commercial contract in which the defendant had agreed to sell to the plaintiff all the plaintiff's requirements for widgets. The plaintiff called an expert witness to testify as to damages. The defendant seeks to show that the expert witness had provided false testimony as a witness in his own divorce proceedings. This evidence should be,admitted only if elicited from the expert witness on cross-examination.,admitted only if the false testimony is established by clear and convincing extrinsic evidence.,"excluded, because it is impeachment on a collateral issue.","excluded, because it is improper character evidence."
d,"Civil Procedure, Jurisdiction/Venue,","A small commercial airplane crashed in State A. The passengers and pilot, all citizens of State B, were killed in the crash. The airline that owned and operated the airplane is incorporated and has its maintenance facilities and principal place of business in State C. One day before the statute of limitations on their claims would have run, the estates of the pilot and each of the passengers filed a wrongful death action against the airline in federal court in State A. The airline was served one week later and wants to prevent the State A federal court from hearing the action. Which of the following motions is most likely to accomplish the airline's goal?",A motion to dismiss the action for improper venue.,A motion to dismiss the action for lack of personal jurisdiction.,A motion to dismiss the action under the doctrine of forum non conveniens.,A motion to transfer the action to a federal court in State C.
a,"Criminal Law & Procedure, Crimes,","Two men were coworkers. The first man admired the second man's wristwatch and frequently said how much he wished he had one like it. The second man decided he was going to give the watch to the first man for his birthday the following week. On the weekend before the first man's birthday, the two men attended a company picnic. The second man took his watch off and left it on a blanket when he went off to join in a touch football game. The first man strolled by, saw the watch on the blanket, and decided to steal it. He bent over and picked up the watch. Before he could pocket it, however, the second man returned. When he saw the first man holding the watch, he said, ""I know how much you like that watch. I was planning to give it to you for your birthday. Go ahead and take it now."" The first man kept the watch. The first man has committed",larceny.,attempted larceny.,embezzlement.,no crime
b,"Real Property, Title, Conveyancing, Recording,,","A woman, an owner in fee simple of a large parcel of vacant land, executed a deed purporting to convey the land to her nephew. She told her nephew, who was then 19, about the deed and said that she would give it to him when he reached 21 and had received his undergraduate college degree. Shortly afterward, the nephew searched the woman's desk, found and removed the deed, and recorded it. A month later, the nephew executed an instrument in the proper form of a warranty deed purporting to convey the land to his fiancée. He delivered the deed to his fiancée, pointing out that the deed recited that it was given in exchange for ""$1 and other good and valuable consideration,"" and that to make it valid, his fiancée must pay him $1. The fiancée, impressed and grateful, did so. Together, they went to the recording office and recorded the deed. The fiancée assumed the woman's nephew had owned the land, and knew nothing about the nephew's dealing with the woman. Neither the woman's deed to her nephew nor her nephew's deed to his fiancée said anything about any conditions. The recording act of the jurisdiction provides: ""No conveyance or mortgage of real property shall be good against subsequent purchasers for value and without notice unless the same be recorded according to law."" Two years passed. The woman's nephew turned 21, and then graduated from college. At the graduation party, the woman was chatting with her nephew's fiancée and for the first time learned the foregoing facts. The age of majority in the jurisdiction is 18 years. The woman brought an appropriate action against her nephew's fiancée to quiet title to the land. The court will decide for","the woman, because her nephew's deed to his fiancée before he has satisfied the woman's conditions was void, as fiancée had paid only nominal consideration.","the woman, because the deed to her nephew was not delivered.","The fiancée, because the nephew has satisfied the woman's oral conditions.","The fiancée, because the deed to her was recorded."
d,"Torts, Intentional Torts,","A man suffered a serious injury while participating in an impromptu basketball game at a public park. The injury occurred when the man and another player, on opposing teams, each tried to obtain possession of the ball when it rebounded from the backboard after a missed shot at the basket. During that encounter, the man was struck and injured by the other player's elbow. The man now seeks compensation from the other player. At the trial, evidence was introduced tending to prove that the game had been rough from the beginning, that elbows and knees had frequently been used to discourage interference by opposing players, and that the man had been one of those making liberal use of such tactics. In this action, will the man prevail?","Yes, if the other player intended to strike the man with his elbow.","Yes, if the other player intended to cause a harmful or offensive contact with the man.","No, because the man impliedly consented to rough play.","No, unless the other player intentionally used force that exceeded the man's consent."
a,"Constitutional Law, Individual Rights,","A water district is an independent municipal water-supply district incorporated under the applicable laws of State A. The water district was created solely to supply water to an entirely new community in a recently developed area of State A. That new community is racially, ethnically, and socioeconomically diverse, and the community has never engaged in any discrimination against members of minority groups. The five-member, elected governing board of the newly created water district contains two persons who are members of racial minority groups. At its first meeting, the governing board of the water district adopted a rule unqualifiedly setting aside 25% of all positions on the staff of the water district and 25% of all contracts to be awarded by the water district to members of racial minority groups. The purpose of the rule was ""to help redress the historical discrimination against these groups in this country and to help them achieve economic parity with other groups in our society."" Assume that no federal statute applies. A suit by appropriate parties challenges the constitutionality of these set-asides. In this suit, the most appropriate ruling based on applicable United States Supreme Court precedent would be that the set-asides are","unconstitutional, because they would deny other potential employees or potential contractors the equal protection of the laws.","unconstitutional, because they would impermissibly impair the right to contract of other potential employees or potential contractors.","constitutional, because they would assure members of racial minority groups the equal protection of the laws.","constitutional, because the function and activities of the water district are of a proprietary nature rather than a governmental nature and, therefore, are not subject to the usual requirements of the Fourteenth Amendment."
a,"Contracts, Common Law Contracts,","In a single writing, a painter contracted with a farmer to paint three identical barns on the farmer's rural estate for $2,000 each. The contract provided for payment of $6,000 upon the painter’s completion of the work on all three barns. The painter did not ask for any payment when the first barn was completely painted, but she demanded $4,000 after painting the second barn. Is the farmer obligated to make the $4,000 payment?","No, because the farmer has no duty under the contract to pay anything to the painter until all three barns have been painted.","No, because the painter waived her right, if any, to payment on a per-barn basis by failing to demand $2,000 upon completion of the first barn.","Yes, because the contract is divisible.","Yes, because the painter has substantially performed the entire contract."
c,"Contracts, Common Law Contracts,","For this question only, assume the farmer rightfully refused the painter’s demand for payment and the painter refused to paint the third barn. If the painter immediately terminates the contract without painting the third barn, what is the painter entitled to recover from the farmer?","Nothing, because payment was expressly conditioned on completion of all three barns.","The painter’s expenditures plus anticipated “profit” in painting the first two barns, up to a maximum recovery of $4,000.","The reasonable value of the painter’s services in painting the two barns, less the farmer’s damages, if any, for the painter’s failure to paint the third barn.",The amount that the combined value of the two painted barns has been increased by the painter’s work.
a,"Civil Procedure,","The beneficiary of a life insurance policy, owned by another person, sues the insurance company to collect. In its answer, the insurance company claims that the owner of the policy committed suicide, and the insurance company is therefore not liable. The insurance company moves for summary judgment, attaching the affidavit of a witness, who swears that he saw the owner of the policy deliberately jump from an upper-story window. The beneficiary files an affidavit in opposition to the motion, in which she states, “The owner of the policy did not commit suicide.” The insurance company’s motion for summary judgment should be:","Granted, because the beneficiary’s unsupported statement does not satisfy the burden of production with respect to her claim.","Granted, because the witness’s eyewitness testimony is stronger evidence than the beneficiary’s statement.","Denied, because the conflict between the beneficiary’s evidence and the insurance company’s evidence presents a genuine issue of material fact.","Denied, because the beneficiary has met her burden of producing evidence to support her claim."
d,"Criminal Law & Procedure, Crimes,","A man who owned a business believed that one of his employees was stealing computer equipment from the business. He decided to break into the employee's house one night, when he knew that the employee and her family would be away, to try to find and retrieve the equipment. The man had brought a picklock to open the employee's back door, but when he tried the door, he found that it was unlocked, so he entered. As the man was looking around the house, he heard sounds outside and became afraid. He left the house but was arrested by police on neighborhood patrol. What is the man's strongest defense to a burglary charge?",The back door to the house was unlocked.,The burglary was abandoned.,The house was not occupied at the time of his entry.,The man did not intend to commit a crime inside the house.
b,"Civil Procedure,","Plaintiff, a resident of State A, sues Defendant, a resident of State B, for breach of contract in State B Federal Court, alleging damages of $200,000, and properly served the Summons and Complaint. On the plaintiff's request, the clerk of the court enters the defendant's default after the defendant fails to file an Answer to the Complaint. Assuming the Plaintiff's claim is for a sum certain, the Plaintiff's next step should be to:",Execute on his default judgment against the defendant's assets.,"File a request for a default judgment, along with supporting affidavits.",Prepare a judgment for the court to sign and submit it to the clerk.,Apply for a default “prove up” hearing to determine damages.
a,"Evidence, Relevance, Opinion,","A company sued its former vice president, for return of $230,000 that had been embezzled during the previous two years. Called by the plaintiff as an adverse witness, the former vice president testified that his annual salary had been $75,000, and he denied the embezzlement. The company calls a banker witness to show that, during the two-year period, the former vice president had deposited $250,000 in his own bank account. The banker witness's testimony is",admissible as circumstantial evidence of the former vice president's guilt.,admissible to impeach the former vice president.,"inadmissible, because its prejudicial effect substantially outweighs its probative value.","inadmissible, because the deposits could have come from legitimate sources."
c,"Real Property, Cotenancy and Landlord-Tenant,","A man and a woman, who were cousins, acquired title to improved land in fee simple, as equal tenants in common, by inheritance from their aunt. During the last 15 years of her lifetime, the aunt allowed the man to occupy an apartment in the house on located on the land, to rent the other apartment in the house to various tenants, and to retain the rent. The man made no payments to the aunt; and since the aunt's death 7 years ago, he has made no payments to the woman. For those 22 years, the man has paid the real estate taxes on the land, kept the building on the land insured, and maintained the building. At all times, the woman has lived in a distant city and has never had anything to do with the aunt, the man, or the land. Recently, the woman needed money for the operation of her business and demanded that the man join her in selling . the land. The man refused. The period of time to acquire title by adverse possession in the jurisdiction is 10 years. There is no other applicable statute. The woman brought an appropriate action against the man for partition. The man asserted all available defenses and counterclaims. In that action, the court should",deny partition and find that title has vested in the man by adverse possession.,"deny partition, confirm the tenancy in common, but require an accounting to determine if either the woman or the man is indebted to the other on account of the rental payment, taxes, insurance premiums, and maintenance costs.","grant partition and require, as an adjustment, an accounting to determine if either the woman or the man is indebted to the other on account of the rental payments, taxes, insurance premiums, and maintenance costs.","grant partition to the woman and the man as equal owners, but without an accounting."
b,"Evidence, Hearsay,","A plaintiff sued a defendant for illegal discrimination, claiming that the defendant fired him because of his race. At trial, the plaintiff called a witness, expecting him to testify that the defendant had admitted the racial motivation. Instead, the witness testified that the defendant said that he had fired the plaintiff because of his frequent absenteeism. While the witness is still on the stand, the plaintiff offers a properly authenticated secret tape recording he had made at a meeting with the witness in which the witness related the defendant's admissions of racial motivation. The tape recording is",admissible as evidence of the defendant's racial motivation and to impeach the witness's testimony.,admissible only to impeach the witness's testimony.,"inadmissible, because it is hearsay not within any exception.","inadmissible, because a secret recording is an invasion of the witness's right of privacy under the U.S. Constitution."
a,"Contracts, Uniform Commercial Code,","On December 15, a potential customer received from a retailer of office supplies, an offer consisting of its catalog and a signed letter stating, “We will supply you with as many of the items in the enclosed catalog as you order during the next calendar year. We assure you that this offer and the prices in the catalog will remain firm throughout the coming year.” 27. For this question only, assume that no other correspondence passed between the parties until the following April 15 (four months later), when the retailer received from the customer a faxed order for “100 reams of your paper, catalog item #101.” Did the customer’s April 15 fax constitute an effective acceptance of the retailer’s offer at the prices specified in the catalog?","Yes, because the retailer had not revoked its offer before April 15.","Yes, because a one-year option contract had been created by the retailer’s offer.","No, because under applicable law the irrevocability of the retailer’s offer was limited to a period of three months.","No, because the customer did not accept the retailer’s offer within a reasonable time."
b,"Contracts, Uniform Commercial Code,","For this question only, assume that on January 15, having at that time received no reply from the customer, the retailer notified the customer that effective February 1, it was increasing the prices of certain specified items in its catalog. Is the price increase effective with respect to catalog orders the retailer receives from the customer during the month of February?","No, because the retailer’s original offer, including the price term, became irrevocable under the doctrine of promissory estoppel.","No, because the retailer is a merchant with respect to office supplies; and its original offer, including the price term, was irrevocable throughout the month of February.","Yes, because the retailer received no consideration to support its assurance that it would not increase prices.","Yes, because the period for which the retailer gave assurance that it would not raise prices was longer than three months."
c,"Civil Procedure,","A worker was injured when a machine he was using on the job malfunctioned. The worker brought a federal diversity action against both the machine's manufacturer and the company responsible for the machine's maintenance. At trial, the worker submitted a proposed jury instruction on negligence. The court did not accept the proposed instruction and instead gave a negligence instruction that the worker's attorney believed was less favorable and legally incorrect. The attorney did not object to the negligence instruction before it was given. The jury returned a verdict for the defendants. The worker has moved for a new trial on the ground that the court's negligence instruction was improper. What argument has the best chance of persuading the court to grant the motion?",Issues of law can be raised at any time.,The court's negligence instruction was incorrect and the worker's objection to it was preserved when he submitted his proposed negligence instruction.,The court's negligence instruction was plain error that affected the worker's substantial rights.,The need for a formal objection to a judicial ruling in order to preserve an argument has been eliminated in the Federal Rules of Civil Procedure.
a,"Constitutional Law, Powers,","Current national statistics show a dramatic increase in the number of elementary and secondary school students bringing controlled substances (drugs) to school for personal use or distribution to others. In response, Congress enacted a statute requiring each state legislature to enact a state law that makes it a state crime for any person to possess, use, or distribute, within 1,000 feet of any elementary or secondary school, any controlled substance that has previously been transported in interstate commerce and that is not possessed, used, or distributed pursuant to a proper physician's prescription. This federal statute is","unconstitutional, because Congress has no authority to require a state legislature to enact any specified legislation.","unconstitutional, because the possession, use, or distribution, in close proximity to a school, of a controlled substance that has previously been transported in interstate commerce does not have a sufficiently close nexus to such commerce to justify its regulation by Congress.","constitutional, because it contains a jurisdictional provision that will ensure, on a case-by-case basis, that any particular controlled substance subject to the terms of this statute will, in fact, affect interstate commerce.","constitutional, because Congress possesses broad authority under both the general welfare clause and the commerce clause to regulate any activities affecting education that, in inseverable aggregates, has a substantial effect on interstate commerce."
b,"Real Property, Easements, Covenants and Servitudes,","A woman had a season ticket for a professional team’s hockey games at their arena. During the intermission between the first and second periods of a home game between the professional team and their opponents, the woman solicited signatures for a petition urging that the home team's coach be fired. The arena and the home team are owned by the same company. As evidenced by many prominently displayed signs, the company prohibits all solicitations anywhere within the arena at any time and in any manner. The company notified the woman to cease her solicitation of signatures. The woman continued to seek signatures on her petition during the next three home games at the arena. Each time, the company notified the woman to cease such solicitation. The woman announced her intention to seek signatures on her petition again during the next home game at the arena. The company wrote a letter informing the woman that her season tickets were canceled and tendered a refund for the unused portion. The woman refused the tender and brought an appropriate action to establish the right to use her season ticket and attend all home games at the arena. In this action, the court will decide for","the company, because it has a right and obligation to control activities on realty it owns and has invited the public to visit.","the company, because the woman's ticket created only a license.","the woman, because, having paid value for the ticket, her right to be present cannot be revoked.","the woman, because she was not committing a nuisance by her activities."
a,"Torts, Intentional Torts,","In a tavern, an intoxicated woman threatened to slash a man with a broken beer bottle. Another customer, who had not been threatened by the woman, forcefully grabbed the woman and locked her in the tavern's storeroom until the police could arrive. In the process, although the customer used reasonable force, the customer badly sprained the woman's wrist. Is the woman likely to recover in an action against the customer?","No, because the customer's conduct was privileged as a defense of others.","Yes, based on battery only.","Yes, based on false imprisonment only.","Yes, based on both battery and false imprisonment."
a,"Real Property, Mortgages, Foreclosure, and Security,","Several years ago, a man purchased land, financing a large part of the purchase price by a loan, secured by a mortgage. The man made the installment payments on the mortgage regularly until last year. Then the man persuaded a woman to buy the land, subject to the mortgage. The man's mortgage contained a due-on-sale clause stating, ""If Mortgagor transfers his/her interest without the written consent of Mortgagee first obtained, then at Mortgagee's option the entire principal balance of the debt secured by this Mortgage shall become immediately due and payable."" However, without seeking the mortgagee’s consent, the man conveyed the land to the woman, the deed stating in pertinent part ""…subject to a mortgage [giving details and recording data]."" The woman took possession of the land and made several mortgage payments, which the mortgagee accepted. Now, however, neither the woman nor the man has made the last three mortgage payments. The mortgagee has brought an appropriate action against the woman for the amount of the delinquent payments. In this action, judgment should be for","the woman, because she did not assume and agree to pay the man's mortgage debt.","the woman, because she is not in privity of estate with mortgage company.","the mortgagee, because the man's deed to the woman violated the due-on-sale clause.","the mortgagee, because the woman is in privity of estate with the mortgagee."
c,"Constitutional Law, Powers,","Congress recently enacted a statute imposing severe criminal penalties on anyone engaged in trading in the stock market who, in the course of that trading, takes ""unfair advantage"" of other investors who are also trading in the stock market. The statute does not define the term ""unfair advantage."" There have been no prosecutions under this new statute. The members of an association of law school professors that is dedicated to increasing the clarity of the language used in criminal statutes believe that this statute is unconstitutionally vague. Neither the association nor any of its members is currently engaged in, or intends in the future to engage in, trading in the stock market. The association and its members bring suit against the Attorney General of the United States in a federal district court, seeking an injunction against the enforcement of this statute on the ground that it is unconstitutional. May the federal court determine the merits of this suit?","Yes, because the suit involves a dispute over the constitutionality of a federal statute.","Yes, because the plaintiffs seek real relief of a conclusive nature an injunction against enforcement of this statute.","No, because the plaintiffs do not have an interest in the invalidation of this statute that is adequate to ensure that the suit presents an Article III controversy.","No, because a suit for an injunction against enforcement of a criminal statute may not be brought in federal court at any time prior to a bona fide effort to enforce that statute."
c,"Criminal Law & Procedure, Crimes,","A woman, an antique dealer and a skilled calligrapher, crafted a letter on very old paper. She included details that would lead knowledgeable readers to believe Thomas Jefferson had written the letter to a friend. The woman, who had a facsimile of Jefferson's autograph, made the signature and other writing on the letter to resemble Jefferson's. She knew that the letter would attract the attention of local collectors. When it did and she was contacted about selling it, she said that it had come into her hands from a foreign collector who wished anonymity, and that she could make no promises about its authenticity. As she had hoped, a collector paid her $5,000 for the letter. Later the collector discovered the letter was not authentic, and handwriting analysis established that the woman had written the letter. In a jurisdiction that follows the common-law definition of forgery, the woman has",committed both forgery and false pretenses.,"committed forgery, because she created a false document with the intent to defraud, but has not committed false pretenses, since she made no representation as to the authenticity of the document.","Not committed forgery, because the document had no apparent legal significance, but has committed false pretenses, since she misrepresented the source of the document.","not committed forgery, because the document had no apparent legal significance, and has not committed false pretenses, since she made no representation as to authenticity of the document."
c,"Torts, Negligence,","A mother rushed her eight-year-old child to the emergency room at a hospital after the child fell off her bicycle and hit her head on a sharp rock. The wound caused by the fall was extensive and bloody. The mother was permitted to remain in the treatment room, and held the child's hand while the emergency room physician cleaned and sutured the wound. During the procedure, the mother said that she was feeling faint and stood up to leave the room. While leaving the room, the mother fainted and, in falling, struck her head on a metal fixture that protruded from the emergency room wall. She sustained a serious injury as a consequence. If the mother sues the hospital to recover damages for her injury, will she prevail?","Yes, because the mother was a public invitee of the hospital.","Yes, unless the fixture was an obvious, commonly used, and essential part of the hospital's equipment.","No, unless the hospital's personnel failed to take reasonable steps to anticipate and prevent the mother's injury.","No, because the hospital's personnel owed the mother no affirmative duty of care."
b,"Civil Procedure, Jurisdiction/Venue,","Plaintiff, a citizen of State A, sues Defendant, a citizen of State B, in State C court for negligent acts the defendant committed against her in State B, causing her personal injuries in the amount of $80,000. If the defendant seeks to remove the case to Federal Court:","The defendant may remove the case to Federal Court in either State A, State B, or State C.","The defendant must remove the case to Federal Court in State C, even if venue in the State C Federal Court would have been improper had the plaintiff originally sued the defendant there.",The defendant must remove the case to Federal Court in State B.,The defendant must remove the case to Federal Court in State C not later than 20 days after service of the summons and complaint.
c,"Civil Procedure,","A defendant files a Motion to Dismiss a plaintiff’s Complaint, on the basis that the Complaint allegedly fails to state facts sufficient to constitute a cause of action. In opposition to the Motion, the plaintiff files and serves on the defendant her Points and Authorities containing clear, controlling authority, issued by the controlling court two days after the defendant filed his Motion to Dismiss, which supports the existence of the cause of action. Concurrently, the plaintiff also serves on the defendant a Motion for Sanctions. Assuming the controlling authority clearly supports denial of the Motion to Dismiss, the plaintiff’s Motion for Sanctions will be:",Granted.,"Granted, unless the defendant withdraws his Motion to Dismiss Plaintiff’s Complaint prior to the hearing on the Motion for Sanctions.","Denied, if the defendant withdraws his Motion to Dismiss Plaintiff’s Complaint within twenty-one (21) days after service of the Motion for Sanctions.","Denied, if the defendant files an Opposition to the Motion for Sanctions that demonstrates the defendant filed his Motion to Dismiss Plaintiff’s Complaint before the controlling authority was issued and published."
c,"Civil Procedure,","A patient filed a medical malpractice action against a hospital in federal court, alleging that hospital staff had failed to diagnose the patient's cancer based on an X-ray that had been taken at the hospital. The patient's cancer was diagnosed six months later, based on the same X-ray, when the patient sought a second opinion. In the interim, the cancer had spread. Fact and expert discovery have been completed in the action. The hospital has moved for summary judgment. In support of its motion, the hospital has submitted a memorandum identifying facts that it claims are not in dispute. It has also cited and attached supporting exhibits, including a report from the hospital's radiologist, who found no signs of cancer on the X-ray. What is the best way for the patient to raise a genuine dispute of material fact?",Submit a report from the patient's expert radiologist contradicting the findings in the report of the hospital's radiologist.,Submit an affidavit from the patient's attorney detailing his conversations with the patient's expert radiologist.,Submit an affidavit from the patient's expert radiologist with findings that contradict the report of the hospital's radiologist.,Submit the patient's medical records showing the patient's current cancer diagnosis.
