answer,tags,question,a,b,c,d
b,"Evidence Prelim. Facts, Burdens, Presumptns","In a prosecution of a man for forgery, the defense objects to the testimony of a government expert on the ground of inadequate qualifications. The government seeks to introduce a letter from the expert's former criminology professor, stating that the expert is generally acknowledged in his field as well qualified. On the issue of the expert's qualifications, the letter may be considered by","the jury, without regard to the hearsay rule.","the judge, without regard to the hearsay rule.","neither the judge nor the jury, because it is hearsay not within any exception.","both the judge and the jury, because the letter is not offered for a hearsay purpose."
c,"Contracts, Common Law Contracts","An employer offered to pay a terminated employee $50,000 to release all claims the employee might have against the employer. The employee orally accepted the offer. The employer then prepared an unsigned release agreement and sent it to the employee for him to sign. The employee carefully prepared, signed, and sent to the employer a substitute release agreement that was identical to the original except that it excluded from the release any age discrimination claims. The employer signed the substitute release without reading it. Shortly thereafter, the employee notified the employer that he intended to sue the employer for age discrimination. Is the employer likely to prevail in an action seeking reformation of the release to conform to the parties' oral agreement?","No, because the employer acted unreasonably by failing to read the substitute release prior to signing it. ","No, because the parol evidence rule will preclude evidence of the oral agreement. ","Yes, because the employee's fraudulent behavior induced the employer's unilateral mistake.","Yes, because the parties were mutually mistaken regarding the contents of the signed release."
d,"Contracts, Common Law Contracts","An attorney received a document at his office with an attached note from a client for whom he had just finished drafting a will. The note read as follows: ""Do you think this contract of sale for my boat complies with state law? I would have talked to you in person about this, but I'm on my way out of town. I will be back next week."" The attorney reviewed the document and wrote a one-page letter to the client stating that the document complied with state law. The lawyer included a bill for $500, which was a reasonable fee. The client refused to pay the attorney anything, arguing that she had never agreed to retain the attorney and that she had received nothing of value from the attorney because the sales transaction was never concluded. Assume that there is no applicable statute or rule governing the formation of attorney-client relationships in the jurisdiction. If the attorney sues the client for the $500, will the attorney be likely to prevail?"," No, because even if the parties had an agreement, that agreement was discharged under the doctrine of frustration of purpose. ","No, because the attorney and the client never agreed on the essential terms of a contract.","Yes, because the attorney took action on the client's note to his detriment.","Yes, because the client's note and the attorney's performance created an implied-in- fact contract."
a,"Torts, Negligence","Supermarket is in a section of town where there are sometimes street fights, where pedestrians are occasionally the victims of pickpockets and muggers, and where there are an unusual number of robberies. Supermarket posted signs in the store and in its parking lot that read: Warning: There are pickpockets and muggers at work in this part of the city. Supermarket is not responsible for the acts of criminals. One evening, a woman drove to Supermarket to see about a special on turkeys that Supermarket was advertising. She decided that the turkeys were too large and left the store without purchasing anything. In the parking lot, she was attacked by an unknown man who raped her and then ran away. If the woman sues Supermarket, the result should be for the"," the woman, if Supermarket failed to take reasonable steps to protect customers against criminal attack in its parking lot. ","the woman, because Supermarket is liable for harm to business invitees on its premises.","Supermarket, if the warning signs were plainly visible to the woman.","Supermarket, because the rapist was the proximate cause of the woman's injuries. "
a,"Criminal Law & Procedure, Criminal Procedure","Defendant wanted to kill a man because he believed the man was having an affair with Defendant’s wife. Early one morning, armed with a pistol, he crouched behind some bushes on a park hillside overlooking a path upon which the man frequently jogged. On this morning, however, Defendant saw the man jogging on another path about a half mile away. Nonetheless, Defendant fired five shots at the man. None of the five shots came anywhere close to the man as he was well out the range of the pistol Defendant was using. Defendant is","guilty of attempted murder, if he was not aware of the limited range of his pistol. "," guilty of attempted murder, if a reasonable person would not have been aware of the limited range of his pistol. ","not guilty of attempted murder, or any lesser included offense, because, under the circumstances, it was impossible for him to have killed the man. ","not guilty of attempted murder, but guilty of assault. "
c,"Constitutional Law, Powers","Widgets are manufactured wholly from raw materials mined and processed in a State. The only two manufacturers of widgets in the United States are also located in that state. However, their widgets are purchased by retailers located in every state. The legislature of the State is considering the adoption of a statute that would impose a tax solely on the manufacture of widgets. The tax is to be calculated at 3% of their wholesale value. Which of the following arguments would be LEAST helpful to the state in defending the constitutionality of this proposed state tax on widgets?",At the time widgets are manufactured and taxed they have not yet entered the channels of interstate commerce. ," The economic impact of this tax will be passed on to both in-state and out-of-state purchasers of widgets and, therefore, it is wholly nondiscriminatory in its effect. ","Because of the powers reserved to them by the Tenth Amendment, states have plenary authority to construct their tax system in any manner they choose. ","A tax on the manufacture of widgets may be imposed only by the state in which the manufacturing occurs and, therefore, it is not likely to create the danger of a multiple tax burden on interstate commerce. "
c,"Real Property, Easements, Covenants and Servitudes0","There is a large tract of land owned by a religious order. On the tract, the religious order erected a large residential building where its members reside. The tract is surrounded by rural residential properties and its only access to a public way is afforded by an easement over a strip of land 30 feet wide. The easement was granted to the religious order by deed from a woman who was the owner of one of the adjacent residential properties. The religious order built a driveway on the strip, and the easement was used for 20 years without incident or objection. Last year, as permitted by the applicable zoning ordinance, the religious order constructed a 200- bed nursing home and a parking lot on the tract, using all of the tract that was available for such development. The nursing home was very successful, and on Sundays, visitors to the nursing home overflowed the parking facilities on the tract and parked all along the driveway from early in the morning through the evening hours. After two Sundays of the resulting congestion and inconvenience, the woman erected a barrier across the driveway on Sundays preventing any use of the driveway by anyone seeking access to the tract. The religious order objected. The woman brought an appropriate action to terminate the easement. The most likely result in this action is that the court will hold for","The woman, because the religious order excessively expanded the use of the dominant tenement. ","The woman, because the parking on the driveway exceeded the scope of the easement. ","The religious order, because expanded use of the easement does not terminate the easement. ","The religious order, because the woman’s use of self-help denies her the right to equitable relief."
d,Civil Procedure,"A woman is an employee of Company. The woman cooperates with a federal investigation of Company for tax evasion. Shortly thereafter, Company terminates the woman’s employment. The woman sues, alleging that the termination constitutes unlawful retaliation under federal racketeering laws. Company claims that the termination was the result of the woman’s poor performance at work. At the close of discovery, the woman produces her own affidavit and her own deposition testimony that Company fired her in retaliation for her cooperation with a federal investigation. Company produces employee records showing that prior to the woman being fired and prior to the federal investigation, the woman had been cited numerous times for repeated lateness and failure to perform job duties. Company moves for summary judgment. Company’s motion should be:","Granted, because Company’s has provided concrete evidence of the reasons why it terminated the woman, and the woman has only provided her own testimony. ","Granted, because the woman has failed to produce evidence supporting a material element of her claim. ","Denied, because the proper motion for Company to make was judgment as a matter of law. "," Denied, because the evidence presents a genuine issue of material fact."
d,"Real Property, RE Contract Issues","Three months ago, a man agreed in writing to buy a seller’s single-family residence for $110,000. The man paid the seller a $5,000 deposit to be applied to the purchase price. The contract stated that the seller had the right at his option to retain the deposit as liquidated damages in the event of the man’s default. The closing was to have taken place last week. Six weeks ago, the man was notified by his employer that he was to be transferred to another job 1,000 miles away. The man immediately notified the seller that he could not close, and therefore he demanded the return of his $5,000. The seller refused, waited until after the contract closing date, listed with a broker, and then conveyed the residence for $108,000 to a purchaser found by the real estate broker. The purchaser paid the full purchase price and immediately recorded his deed. The purchaser knew of the prior contract with the man. In an appropriate action, the man seeks to recover the $5,000 deposit from the seller. The most probable result will be that the seller","must return the $5,000 to the man, because the seller can no longer carry out his contract with the man. ","must return the $5,000 to the man, because the man was legally justified in not completing the contract. ","must return $3,000 to the man, because the seller’s damages were only $2,000. ","may keep the $5,000 deposit, because the man breached the contract. "
a,"Contracts, Uniform Commercial Code","An automobile retailer had an adult daughter who needed a car in her employment but had only $3,000 with which to buy one. The retailer wrote to her, “Give me your $3,000 and I’ll give you the car on our lot that we have been using as a demonstrator.” The daughter thanked her father and paid him the $3,000. As both the retailer and daughter knew, the demonstrator was reasonably worth $10,000. After daughter had paid the $3,000, but before the car had been delivered to her, one of the retailer’s sales wholesaler sold and delivered the same car to a customer for $10,000. Neither the salesperson nor the customer was aware of the transaction between the retailer and daughter. Does daughter, after rejecting a tendered return of the $3,000 by the retailer, have an action against him for breach of contract?","Yes, because the retailer’s promise was supported by bargained-for consideration.","Yes, because the retailer’s promise was supported by the moral obligation a father owes his child as to the necessities of modern life. ","No, because the payment of $3,000 was inadequate consideration to support the retailer’s promise. ","No, because the salesperson’s delivery of the car to the customer made it impossible for the retailer to perform. "
b,"Torts, Negligence","A patient in a hospital was placed in wheelchair with his broken leg extended straight out in front of him. As a nurse employed by the hospital was pushing the wheelchair through a set of automatic doors at a normal pace, the doors closed on the patient's foot, injuring it. The nurse attempted to pull the wheelchair back through the doors. This action caused the doors to close more tightly on the patient's foot, injuring it further. The patient sued the hospital, alleging improper maintenance of the doors. The patient has produced no evidence of specific conduct or neglect on the part of the hospital that would have caused the automatic doors to malfunction. The hospital has moved for summary judgment. Should the court grant the hospital's motion?","No, because a jury could find that there was a latent defect in the doors. ","No, because a jury could find the hospital liable for negligence based on res ipsa loquitur. ","Yes, because proof of an accident, by itself, does not establish that an injured person was a victim of negligence. ","Yes, because the nurse's action was a superseding cause of the injury."
b,EvidenceImpeachment of Witnesses,"A plaintiff sued a defendant in federal court for assault and battery. At trial, the court has allowed the plaintiff to introduce the deposition testimony of a witness, now deceased, that he was with the plaintiff at the time of the incident. The defendant now seeks to impeach the testimony of the witness with his 13-year-old conviction for burglary (for which he served 18 months in prison) for breaking into the home of a neighbor while she was away and taking some of her valuable jewelry. Should the court allow evidence of the conviction?","No, because the witness did not testify at trial. "," No, unless the court finds, in the interests of justice, that the probative value of the conviction, supported by specific facts and circumstances, substantially outweighs its prejudicial effect. ","Yes, because prior convictions are probative to impeach the witness's character for truthfulness. ","Yes, because the crime involved an act of dishonesty. "
c,"Criminal Law & Procedure, Criminal Procedure","Plagued by neighborhood youths who had been stealing lawn furniture from his back yard, a man remained awake nightly watching for them. One evening the man heard noises in his backyard. He yelled out, warning intruders to leave. Receiving no answer, he fired a shotgun filled with nonlethal buckshot into bushes along his back fence where he believed the intruders might be hiding. A six-year-old child was hiding in the bushes and was struck in the eye by some of the pellets, causing loss of sight. If the man is charged with second-degree assault, which is defined in the jurisdiction as “maliciously causing serious physical injury to another,” he is","not guilty, because the child was trespassing and he was using what he believed was non- deadly force. ","not guilty, because he did not intend to kill or to cause serious physical injury. ","guilty, because he recklessly caused serious physical injury.","guilty, because there is no privilege to use force against a person who is too young to be criminally responsible. "
a,"Constitutional Law, Powers","A federal statute authorizes a federal agency to issue rules requiring that state legislatures adopt laws of limited duration to reduce water pollution from gasoline-powered boat motors. The purpose of these rules is to assist the agency in attaining the clean water standards required by the statute. After the agency issued such rules, several states filed an action challenging the rules on the sole ground that they are unconstitutional. Should the court uphold the constitutionality of the agency's rules?","No, because the federal government may not compel a state legislature to enact into state law a federally mandated regulatory program. ","No, because the Tenth Amendment grants states immunity from all direct federal regulation.","
 Yes, because the rules serve an important purpose, and the requirements they impose on the states are only temporary and do not excessively interfere with the functioning of the state governments. ","Yes, because the supremacy clause of Article VI requires states to enforce federal law. "
d,"Contracts, Common Law Contracts","The owner and operator of a small business encourages “wellness” on the part of his employees and supports various physical-fitness programs to that end. Learning that one of his employees was a dedicated jogger, the owner- operator promised to pay her a special award of $100 if she could and would run one mile in less than six minutes on the following Saturday. The employee thanked him, and did in fact run a mile in less than six minutes on the day specified. Shortly thereafter, however, the owner-operator discovered that for more than a year the employee had been running at least one mile in less than six minutes every day as a part of her personal fitness program. He refused to pay the $100. In an action by the employee against the owner- operator for breach of contract, which of the following best summarizes the probable decision of the court?","The owner-operator wins, because it is a compelling inference that his promise did not induce employee to run the specified mile. ","The owner-operator wins, because employee’s running of the specified mile was beneficial, not detrimental, to her in any event. ","Employee wins, because running a mile in less than six minutes is a significantly demanding enterprise. ","Employee wins, because she ran the specified mile as requested, and her motives for doing so are irrelevant. "
b,"Real Property, RE Contract Issues","A man was the owner of an undeveloped city lot. The man and Buyer executed a written document in which the man agreed to sell the lot to Buyer and Buyer agreed to buy the lot from the man for $100,000; the document did not provide for an earnest money down payment. The man recorded the document, as authorized by statute. The man orally gave Buyer permission to park his car on the lot without charge prior to the closing. Thereafter, Buyer frequently parked his car on the lot. Another property came on the market that Buyer wanted more than the lot. Buyer decided to try to escape any obligation to the man. Buyer had been told that contracts for the purchase and sale of real property require consideration and concluded that because he had made no earnest money down payment, he could refuse to close and not be liable. Buyer notified the man of his intention not to close and, in fact, did refuse to close on the date set for the closing. The man brought an appropriate action to compel specific performance by Buyer. If the man wins, it will be because",Buyer’s use of Buyer for parking constitutes part performance.,general contract rules regarding consideration apply to real estate contracts. ,the doctrine of equitable conversion applies. ,the document was recorded.
b,"Contracts, Common Law Contracts","For this question only, assume the following facts. After completing 25% of the garage strictly according to owner’s specifications, the carpenter demanded payment of $2,000 as a “reasonable progress payment.” The owner refused, and the carpenter abandoned the job. If each party sues the other for breach of contract, which of the following will the court decide?","Both parties are in breach, and each is entitled to damages, if any, from the other.","Only the carpenter is in breach and liable for the owner’s damages, if any. ","Only the owner is in breach and liable for the carpenter’s damages, if any.","Both parties took reasonable positions, and neither is in breach."
c,"Contracts, Common Law Contracts","For this question only, assume the following facts. After completing 25% of the garage strictly according to the owner’s specifications, the carpenter assigned his rights under the contract to a woman as security for an $8,000 loan. The woman immediately notified the owner of the assignment. The carpenter thereafter, without legal excuse, abandoned the job before it was half-complete. The carpenter subsequently defaulted on the loan from the woman. The carpenter has no assets. It will cost the owner at least $8,000 to get the garage finished by another builder. If the woman sues the owner for $8,000, which of the following will the court decide?"," The woman wins, because the carpenter- owner contract was in existence and the carpenter was not in breach when the woman gave the owner notice of the assignment. ","The woman wins, because the woman as a secured creditor over the carpenter is entitled to priority over the owner’s unsecured claim against the carpenter. ","The owner wins, because his right to recoupment on account of the carpenter’s breach is available against the woman as the carpenter’s assignee. ","The owner wins, because his claim against the carpenter arose prior to the carpenter’s default on his loan from the woman."
b,"Constitutional Law, Powers","The Sports Championship Revenue Enhancement Act is a federal statute that was enacted as part of a comprehensive program to eliminate the federal budget deficit. That act imposed, for a period of five years, a 50% excise tax on the price of tickets to championship sporting events. Such events included the World Series, the Super Bowl, major college bowl games, and similar championship sports events. This federal tax is probably","constitutional, because the compelling national interest in reducing the federal budget deficit justifies this tax as a temporary emergency measure. ","constitutional, because an act of Congress that appears to be a revenue raising measure on its face is not rendered invalid because it may have adverse economic consequences for the activity taxed. ","unconstitutional, because a 50% tax is likely to reduce attendance at championship sporting events and, therefore, is not rationally related to the legitimate interest of Congress in eliminating the budget deficit. 
 ","unconstitutional, because Congress violates the equal protection component of the Fifth Amendment by singling out championship sporting events for this tax while failing to tax other major sporting, artistic, or entertainment events to which tickets are sold. "
c,Civil Procedure,"Plaintiff, a resident of California sued Defendant, a resident of British Columbia (Canada), for personal injuries arising from an automobile accident that occurred outside Solvang, California, in Federal Court in California, claiming damages in excess of $250,000, and properly served the Summons and Complaint. Defendant failed to file an Answer. Plaintiff applies for the clerk of the Federal District Court to enter a default judgment against Defendant for property damages of $35,000, medical bills arising from the accident of $60,000, lost wages of $25,000, and pain and suffering of $150,000. Assuming that Plaintiff submits bills supporting the property damage, medical bills, and lost wages, the Clerk should:","Enter judgment for the entire claimed amount of $270,000.","Enter judgment for the entire claimed amount, except pain and suffering, totaling $120,000.",Refuse to enter judgment. ,Refuse to enter judgment unless Plaintiff also submits affidavits from his psychologist and doctor attesting to his pain and suffering. 
c,Torts Trespass/Nuisance,"A factory requires the use of very high voltage electricity. Plaintiff owns property adjacent to the factory where he has attempted to carry on a business that requires the use of sensitive electronic equipment. The effectiveness of Plaintiff's electronic equipment is impaired by electrical interference arising from the high voltage currents used in the factory. Plaintiff has complained to the factory several times, with no result. There is no way that the factory, by taking reasonable precautions, can avoid the interference with Plaintiff's operation that arises from the high voltage currents necessary to the factory's operation. In Plaintiff's action against the factory to recover damages for the economic loss caused to him by the electrical interference, will Plaintiff prevail?","Yes, because the factory's activity is abnormally dangerous."," Yes, for loss suffered by Plaintiff after the factory was made aware of the harm its activity was causing to Plaintiff. ","No, unless the factory caused a substantial and unreasonable interference with Plaintiff's business. ","No, because Plaintiff's harm was purely economic and did not arise from physical harm to his person or property. "
c,Real Property Cotenancy and Landlord-Tenant,"An owner leased a barn to his neighbor for a term of three years. The neighbor took possession of the barn and used it for his farming purposes. The lease made the owner responsible for structural repairs to the barn, unless they were made necessary by actions of the neighbor. One year later, the owner conveyed the barn and its associated land to a woman “subject to the lease to the neighbor.” The neighbor paid the next month’s rent to the woman. The next day a portion of an exterior wall of the barn collapsed because of rot in the interior structure of the wall. The wall had appeared to be sound, but a competent engineer, on inspection, would have discovered its condition. Neither the woman nor the neighbor had the barn inspected by an engineer. The neighbor was injured as a result of the collapse of the wall. The owner had known that the wall was dangerously weakened by rot and needed immediate repairs, but had not told the neighbor or the woman. There is no applicable statute. The neighbor brought an appropriate action against the owner to recover damages for the injuries he sustained. The woman was not a party. Which of the following is the most appropriate comment concerning the outcome of this action?","The neighbor should lose, because the woman assumed all of the owner’s obligations by reason of the neighbor’s attornment to her. ","The neighbor should recover, because there is privity between lessor and lessee and it cannot be broken unilaterally. ","The neighbor should recover, because the owner knew of the danger but did not warn the neighbor. ","The neighbor should lose, because he failed to inspect the barn. "
c,Civil Procedure,"Plaintiff owned extensive grazing lands south of a chemical plant owned by Company. Company was dumping tons of chemicals into the river that flowed south past their plant and through Plaintiff‘s lands. As a result of the pollution of the river by the chemicals, Plaintiff’s cattle became ill, and some began to die. Plaintiff filed suit in Federal District Court, alleging that Company’s dumping of the chemicals violated a number of federal anti-pollution laws, as well as several similar state laws. Plaintiff’s Complaint sought $100,000 for damages attributable to the sick and dying cattle. After trial, the District Court awarded Plaintiff $100,000 for the past harm to the cattle, and issued a permanent injunction prohibiting Company from dumping its chemicals into the river without first installing a filter to remove the chemicals harmful to cattle. Plaintiff’s Complaint did not seek an injunction. On appeal, will the order issuing the injunction be affirmed?","No, because Plaintiff did not seek an injunction in his Complaint.","No, because Plaintiff is not suffering any irreparable harm.","Yes, if Plaintiff’s evidence supported a finding of irreparable harm and future, repeating damages to his land and cattle if the flow of chemicals into the river were not stopped. ","Yes, but only if, prior to submission of the case to the Court, Plaintiff first moved to amend his Complaint to pray for an injunction. "
b,"Torts, Negligence","A man negligently caused a fire in his house, and the house burned to the ground. As a result, the sun streamed into his neighbor's yard next door, which previously had been shaded by the man's house. The sunshine destroyed some delicate and valuable trees in the neighbor's yard that could grow only in the shade. The neighbor has brought a negligence action against the man for the loss of the neighbor's trees. The man has moved to dismiss the complaint. The best argument in support of the motion to dismiss would be that",The man's negligence was not the active cause of the loss of the neighbor's trees.,The man's duty to avoid the risks created by a fire did not encompass the risk that sunshine would damage the neighbor's trees. ,The loss of the trees was not a natural and probable consequence of the man's negligence. ,"The neighbor suffered a purely economic loss, which is not compensable in a negligence action. "
